Employee ID,Tools and Software Usage,System Downtime,Technical Support Requests,Survey Responses,Engagement Activity Participation,Internal Communication Metrics,Project Completion Rates,Hours Worked,Output Quality,Task Completion Time,Training Participation,Technology Utilization,Age,Gender,Tenure,Department,Job Role, Salary ,Performance Scores,Job Satisfaction Scores,Exit Reasons,,,,,,,,,,,,
1,9,0.5257,4,6,3,5,0.7,30,7,3,TRUE,9,60,Male,22,Sales,Assistant," $45,196 ",4,8,Personal Reasons,,,,,,,,,,,,
2,9,1.4940,6,9,2,8,0.96,46,10,8,FALSE,9,50,Male,14,Finance,Executive," $40,000 ",4,6,Career Change,,,,,,,,,,,,
3,5,1.0019,5,6,1,2,1,41,4,6,FALSE,3,36,Female,11,Sales,Analyst," $40,000 ",2,2,N/A,,,,,,,,,,,,
4,4,3.9325,3,4,1,1,0.63,33,6,7,TRUE,5,64,Male,16,Sales,Executive," $40,000 ",3,8,Relocation,,,,,,,,,,,,
5,4,2.8161,1,7,2,4,0.75,42,7,5,TRUE,3,29,Female,6,Marketing,Assistant," $40,000 ",4,5,N/A,,,,,,,,,,,,
6,9,0.0000,6,3,0,4,0.5,38,5,4,TRUE,10,42,Female,6,IT,Executive," $40,000 ",5,8,N/A,,,,,,,,,,,,
7,8,0.9075,9,5,0,9,0.5,36,5,6,FALSE,2,60,Male,18,HR,Analyst," $40,000 ",4,8,N/A,,,,,,,,,,,,
8,10,0.3639,8,1,0,3,0.6,34,6,8,FALSE,1,40,Male,19,IT,Analyst," $40,000 ",1,6,Retirement,,,,,,,,,,,,
9,10,0.0000,0,10,1,4,0.5,34,3,4,FALSE,10,44,Female,10,Sales,Executive," $40,000 ",1,2,Higher Salary,,,,,,,,,,,,
10,7,2.0617,2,3,0,3,0.58,46,7,10,TRUE,2,32,Male,18,IT,Manager," $40,000 ",1,8,Career Change,,,,,,,,,,,,
11,3,4.5008,6,8,0,2,0.59,38,7,8,FALSE,8,32,Male,13,Marketing,Assistant," $40,000 ",4,6,Higher Salary,,,,,,,,,,,,
12,4,2.3873,8,9,1,4,0.68,35,7,10,TRUE,8,45,Male,12,HR,Assistant," $40,000 ",2,6,Relocation,,,,,,,,,,,,
13,9,1.0831,4,9,1,8,0.66,48,7,7,TRUE,3,57,Male,17,Marketing,Executive," $40,000 ",5,8,Higher Salary,,,,,,,,,,,,
14,8,0.0632,6,10,2,1,0.6,45,6,5,FALSE,7,61,Female,17,HR,Manager," $40,000 ",4,1,Career Change,,,,,,,,,,,,
15,1,3.7037,9,2,2,8,0.5,31,4,7,TRUE,7,45,Female,18,Sales,Analyst," $40,000 ",2,2,Career Change,,,,,,,,,,,,
16,3,3.3337,6,4,0,8,0.72,39,7,8,FALSE,2,24,Female,8,HR,Clerk," $40,000 ",2,9,Relocation,,,,,,,,,,,,
17,10,0.0000,3,5,1,3,1,45,10,9,TRUE,9,43,Female,16,HR,Clerk," $40,000 ",4,8,Career Change,,,,,,,,,,,,
18,2,4.5441,4,3,0,10,0.85,34,8,4,TRUE,3,23,Male,7,HR,Executive," $40,000 ",4,7,Relocation,,,,,,,,,,,,
19,2,3.2162,1,1,0,10,0.91,44,9,10,TRUE,2,45,Male,13,IT,Manager," $40,000 ",2,7,Relocation,,,,,,,,,,,,
20,8,0.2214,7,6,1,6,0.79,42,9,7,FALSE,3,51,Female,16,IT,Manager," $40,000 ",2,5,Career Change,,,,,,,,,,,,
21,6,2.3014,0,10,0,4,0.93,42,10,8,TRUE,2,59,Female,16,Sales,Assistant," $40,000 ",2,2,Personal Reasons,,,,,,,,,,,,
22,6,2.4297,1,2,0,1,0.98,42,9,7,FALSE,8,23,Male,2,HR,Analyst," $40,000 ",4,6,Relocation,,,,,,,,,,,,
23,4,2.6710,2,9,2,1,0.75,44,8,9,TRUE,5,42,Female,15,Finance,Manager," $40,000 ",2,10,Career Change,,,,,,,,,,,,
24,1,2.5318,6,1,0,5,0.5,43,6,6,TRUE,3,54,Female,11,Sales,Clerk," $40,000 ",1,3,Personal Reasons,,,,,,,,,,,,
25,7,1.7322,5,9,1,8,0.91,37,7,8,TRUE,5,33,Male,9,HR,Analyst," $40,000 ",4,4,Relocation,,,,,,,,,,,,
26,8,1.4508,6,7,1,1,1,40,4,9,FALSE,8,43,Female,11,HR,Analyst," $40,000 ",1,10,Personal Reasons,,,,,,,,,,,,
27,2,2.8216,4,10,4,2,0.79,47,8,9,FALSE,7,46,Male,15,IT,Executive," $40,000 ",3,2,Retirement,,,,,,,,,,,,
28,2,3.9319,3,2,0,7,0.5,33,4,9,FALSE,6,48,Male,19,Sales,Manager," $40,000 ",4,2,N/A,,,,,,,,,,,,
29,1,3.6340,6,6,2,8,0.5,39,4,8,FALSE,1,63,Female,22,HR,Executive," $44,430 ",3,8,Retirement,,,,,,,,,,,,
30,4,1.5254,2,8,0,3,0.5,30,5,7,FALSE,10,49,Male,16,HR,Manager," $40,000 ",2,8,Personal Reasons,,,,,,,,,,,,
31,6,3.9070,9,2,0,8,0.5,34,4,6,TRUE,1,37,Female,9,Sales,Assistant," $40,000 ",2,10,Relocation,,,,,,,,,,,,
32,5,2.5376,6,5,0,1,0.65,42,7,10,TRUE,1,36,Male,10,Finance,Executive," $40,000 ",5,6,Career Change,,,,,,,,,,,,
33,4,3.2298,1,6,0,9,0.96,30,8,2,FALSE,10,24,Female,6,Sales,Executive," $40,000 ",2,5,Higher Salary,,,,,,,,,,,,
34,4,3.9623,7,3,1,2,0.65,37,7,7,FALSE,8,58,Female,15,Sales,Clerk," $40,000 ",3,8,Career Change,,,,,,,,,,,,
35,10,1.9186,5,2,0,2,0.64,32,4,4,FALSE,8,28,Female,7,Finance,Executive," $40,000 ",2,4,Higher Salary,,,,,,,,,,,,
36,7,3.0915,2,6,0,4,0.72,32,7,6,FALSE,7,42,Male,11,Sales,Manager," $40,000 ",4,4,Higher Salary,,,,,,,,,,,,
37,7,1.3956,2,3,0,10,1,36,10,7,TRUE,6,30,Male,7,HR,Clerk," $40,000 ",2,5,Relocation,,,,,,,,,,,,
38,2,4.5340,4,2,1,3,0.55,33,6,8,FALSE,4,60,Female,20,Sales,Executive," $40,000 ",5,1,Personal Reasons,,,,,,,,,,,,
39,7,2.3018,2,1,0,4,0.5,32,1,7,FALSE,1,39,Male,8,Finance,Executive," $40,000 ",2,1,Career Change,,,,,,,,,,,,
40,2,3.9056,5,8,2,6,0.77,44,10,8,FALSE,9,25,Female,5,Marketing,Assistant," $40,000 ",3,2,Personal Reasons,,,,,,,,,,,,
41,4,3.6921,1,1,0,7,0.93,37,8,5,FALSE,1,46,Female,9,Sales,Executive," $40,000 ",3,8,Retirement,,,,,,,,,,,,
42,1,3.2098,7,5,0,5,0.61,32,6,1,TRUE,4,35,Male,14,IT,Analyst," $40,000 ",2,7,Relocation,,,,,,,,,,,,
43,5,3.1209,8,6,1,2,0.5,36,6,7,TRUE,3,30,Female,6,HR,Clerk," $40,000 ",3,10,Relocation,,,,,,,,,,,,
44,1,2.9947,6,3,1,3,0.83,47,7,11,FALSE,7,47,Male,16,HR,Analyst," $40,000 ",3,9,Retirement,,,,,,,,,,,,
45,4,3.0300,2,7,0,10,1,40,10,8,TRUE,5,23,Female,8,IT,Clerk," $40,000 ",5,5,Career Change,,,,,,,,,,,,
46,9,1.1519,9,2,0,3,0.54,40,4,7,TRUE,5,41,Male,16,IT,Assistant," $40,000 ",4,2,N/A,,,,,,,,,,,,
47,8,1.7246,3,7,0,5,0.67,46,8,9,FALSE,4,49,Female,14,Sales,Executive," $40,000 ",5,7,Retirement,,,,,,,,,,,,
48,6,0.4862,9,2,0,5,0.72,35,6,6,FALSE,1,28,Female,5,IT,Executive," $40,000 ",1,8,Career Change,,,,,,,,,,,,
49,8,0.3042,1,5,1,4,0.94,37,9,7,TRUE,5,29,Male,4,Marketing,Executive," $40,000 ",5,7,Higher Salary,,,,,,,,,,,,
