Employee ID,Project Completion Rates,Hours Worked,Output Quality,Task Completion Time,Training Participation,Technology Utilization,
1,0.7,30,7,3,TRUE,9,
2,0.96,46,10,8,FALSE,9,
3,1,41,4,6,FALSE,3,
4,0.63,33,6,7,TRUE,5,
5,0.75,42,7,5,TRUE,3,
6,0.5,38,5,4,TRUE,10,
7,0.5,36,5,6,FALSE,2,
8,0.6,34,6,8,FALSE,1,
9,0.5,34,3,4,FALSE,10,
10,0.58,46,7,10,TRUE,2,
11,0.59,38,7,8,FALSE,8,
12,0.68,35,7,10,TRUE,8,
13,0.66,48,7,7,TRUE,3,
14,0.6,45,6,5,FALSE,7,
15,0.5,31,4,7,TRUE,7,
16,0.72,39,7,8,FALSE,2,
17,1,45,10,9,TRUE,9,
18,0.85,34,8,4,TRUE,3,
19,0.91,44,9,10,TRUE,2,
20,0.79,42,9,7,FALSE,3,
21,0.93,42,10,8,TRUE,2,
22,0.98,42,9,7,FALSE,8,
23,0.75,44,8,9,TRUE,5,
24,0.5,43,6,6,TRUE,3,
25,0.91,37,7,8,TRUE,5,
26,1,40,4,9,FALSE,8,
27,0.79,47,8,9,FALSE,7,
28,0.5,33,4,9,FALSE,6,
29,0.5,39,4,8,FALSE,1,
30,0.5,30,5,7,FALSE,10,
31,0.5,34,4,6,TRUE,1,
32,0.65,42,7,10,TRUE,1,
33,0.96,30,8,2,FALSE,10,
34,0.65,37,7,7,FALSE,8,
35,0.64,32,4,4,FALSE,8,
36,0.72,32,7,6,FALSE,7,
37,1,36,10,7,TRUE,6,
38,0.55,33,6,8,FALSE,4,
39,0.5,32,1,7,FALSE,1,
40,0.77,44,10,8,FALSE,9,
41,0.93,37,8,5,FALSE,1,
42,0.61,32,6,1,TRUE,4,
43,0.5,36,6,7,TRUE,3,
44,0.83,47,7,11,FALSE,7,
45,1,40,10,8,TRUE,5,
46,0.54,40,4,7,TRUE,5,
47,0.67,46,8,9,FALSE,4,
48,0.72,35,6,6,FALSE,1,
49,0.94,37,9,7,TRUE,5,
50,0.94,30,8,5,TRUE,4,
51,0.75,39,7,6,TRUE,10,
52,0.92,48,9,9,TRUE,8,
53,0.73,32,6,6,TRUE,2,
54,0.89,33,8,10,FALSE,8,
55,1,40,10,6,TRUE,1,
56,0.65,44,7,8,TRUE,4,
57,0.58,30,6,5,TRUE,3,
58,0.63,38,8,6,TRUE,5,
59,0.64,40,7,9,TRUE,5,
60,1,48,10,14,TRUE,5,
61,0.86,42,8,7,TRUE,4,
62,0.8,45,9,10,TRUE,8,
63,0.5,33,3,2,FALSE,3,
64,0.7,30,4,5,FALSE,4,
65,1,49,10,12,TRUE,1,
66,0.5,42,5,8,FALSE,7,
67,0.54,30,6,7,FALSE,1,
68,0.59,34,6,5,FALSE,2,
69,0.83,34,8,7,FALSE,7,
70,0.83,43,9,11,FALSE,1,
71,0.67,43,7,6,FALSE,3,
72,0.61,37,6,11,TRUE,6,
73,0.5,33,2,3,TRUE,6,
74,0.75,36,6,6,FALSE,6,
75,0.7,49,7,8,TRUE,2,
76,0.84,48,9,9,FALSE,2,
77,0.77,44,7,7,TRUE,6,
78,0.5,33,4,4,TRUE,10,
79,1,48,10,7,TRUE,5,
80,0.55,38,5,8,FALSE,7,
81,0.56,42,6,7,TRUE,7,
82,0.65,43,7,7,TRUE,5,
83,0.51,43,7,9,FALSE,8,
84,0.57,39,6,4,FALSE,10,
85,0.62,45,8,9,TRUE,6,
86,0.64,34,7,6,FALSE,5,
87,0.86,35,8,6,TRUE,4,
88,0.55,31,7,7,TRUE,7,
89,0.5,42,4,11,FALSE,4,
90,0.91,42,9,9,FALSE,5,
91,0.98,48,10,9,TRUE,5,
92,0.75,47,8,7,FALSE,1,
93,1,48,10,4,TRUE,1,
94,0.85,30,8,6,FALSE,3,
95,0.7,37,7,4,FALSE,3,
96,0.66,45,7,3,FALSE,2,
97,0.99,31,9,5,FALSE,2,
98,0.57,37,7,7,FALSE,6,
