Employee ID,Survey Responses,Engagement Activity Participation,Internal Communication Metrics,,
1,6,3,5,,
2,9,2,8,,
3,6,1,2,,
4,4,1,1,,
5,7,2,4,,
6,3,0,4,,
7,5,0,9,,
8,1,0,3,,
9,10,1,4,,
10,3,0,3,,
11,8,0,2,,
12,9,1,4,,
13,9,1,8,,
14,10,2,1,,
15,2,2,8,,
16,4,0,8,,
17,5,1,3,,
18,3,0,10,,
19,1,0,10,,
20,6,1,6,,
21,10,0,4,,
22,2,0,1,,
23,9,2,1,,
24,1,0,5,,
25,9,1,8,,
26,7,1,1,,
27,10,4,2,,
28,2,0,7,,
29,6,2,8,,
30,8,0,3,,
31,2,0,8,,
32,5,0,1,,
33,6,0,9,,
34,3,1,2,,
35,2,0,2,,
36,6,0,4,,
37,3,0,10,,
38,2,1,3,,
39,1,0,4,,
40,8,2,6,,
41,1,0,7,,
42,5,0,5,,
43,6,1,2,,
44,3,1,3,,
45,7,0,10,,
46,2,0,3,,
47,7,0,5,,
48,2,0,5,,
49,5,1,4,,
50,7,1,8,,
51,3,1,6,,
52,4,0,6,,
53,1,0,1,,
54,3,0,6,,
55,9,1,3,,
56,10,1,6,,
57,5,0,10,,
58,8,0,6,,
59,2,0,2,,
60,3,0,1,,
61,7,2,3,,
62,10,2,5,,
63,4,0,4,,
64,9,1,7,,
65,7,2,4,,
66,1,0,8,,
67,4,0,7,,
68,10,4,10,,
69,6,1,9,,
70,6,0,1,,
71,10,2,5,,
72,6,1,4,,
73,5,0,6,,
74,3,0,1,,
75,2,1,6,,
76,3,0,1,,
77,9,0,1,,
78,3,0,8,,
79,3,1,2,,
80,1,0,10,,
81,2,0,6,,
82,3,2,6,,
83,2,0,6,,
84,8,0,8,,
85,6,1,4,,
86,7,1,3,,
87,1,0,6,,
88,6,0,4,,
89,2,0,2,,
90,6,2,6,,
91,3,0,10,,
92,7,0,5,,
93,3,1,9,,
94,9,2,6,,
95,3,0,3,,
96,7,2,5,,
97,4,2,10,,
98,8,0,8,,
99,2,0,9,,
100,8,3,8,,
101,9,2,3,,
102,8,0,9,,
103,6,1,3,,
104,10,3,8,,
105,1,0,10,,
106,7,1,9,,
107,1,0,7,,
108,7,0,4,,
109,2,0,10,,
110,8,1,9,,
111,2,1,3,,
112,3,1,3,,
113,3,0,2,,
114,1,0,10,,
115,5,0,3,,
116,5,1,1,,
117,10,1,4,,
118,5,0,8,,
119,9,3,5,,
120,6,3,2,,
121,6,1,3,,
122,3,1,1,,
123,5,1,2,,
124,10,2,1,,
125,7,0,2,,
126,3,0,3,,
127,2,0,1,,
128,5,1,9,,
129,3,1,10,,
130,5,1,5,,
131,9,1,8,,
132,10,0,5,,
133,1,0,8,,
134,4,1,7,,
135,10,1,4,,
136,5,0,7,,
137,2,2,6,,
138,2,0,3,,
139,1,0,9,,
140,8,2,10,,
141,2,0,9,,
142,3,1,5,,
143,2,1,8,,
144,4,0,7,,
145,1,0,9,,
146,3,2,7,,
147,5,0,4,,
148,10,1,4,,
149,1,0,8,,
150,4,1,6,,
151,6,1,9,,
152,4,0,10,,
153,7,1,7,,
154,7,1,7,,
155,6,1,4,,
156,9,0,3,,
157,2,0,8,,
158,10,3,7,,
159,8,0,4,,
160,8,0,4,,
161,10,1,1,,
162,4,1,7,,
163,6,0,1,,
164,6,0,10,,
165,5,1,10,,
166,1,1,4,,
167,3,0,3,,
168,7,0,3,,
169,8,1,1,,
170,2,0,4,,
171,3,0,1,,
172,4,1,8,,
173,5,0,1,,
174,3,0,6,,
175,5,0,7,,
176,8,2,10,,
177,8,1,2,,
178,2,0,4,,
179,6,0,3,,
180,4,0,9,,
181,9,1,7,,
182,10,1,2,,
183,2,0,6,,
184,8,1,9,,
185,1,0,3,,
186,6,2,6,,
187,10,2,3,,
188,1,0,3,,
189,2,1,4,,
190,3,1,9,,
191,9,2,8,,
192,5,1,1,,
193,10,0,1,,
194,10,3,7,,
195,2,0,3,,
196,10,2,7,,
197,5,1,9,,
198,5,2,3,,
199,1,0,3,,
200,3,0,2,,
201,5,0,10,,
202,9,0,1,,
203,10,0,9,,
204,1,0,6,,
205,8,2,6,,
206,1,2,8,,
207,9,3,5,,
208,6,0,9,,
209,1,0,5,,
210,8,2,2,,
211,5,1,6,,
212,7,1,9,,
213,7,1,3,,
214,7,2,10,,
215,6,0,4,,
216,8,2,10,,
217,9,2,8,,
218,2,0,6,,
219,7,2,7,,
220,2,0,7,,
221,6,0,4,,
222,2,0,6,,
223,10,0,9,,
224,6,1,3,,
225,2,1,8,,
226,1,0,7,,
227,7,0,4,,
228,3,0,10,,
229,4,0,3,,
230,6,1,7,,
231,5,2,10,,
232,4,2,9,,
233,9,2,10,,
234,6,1,3,,
235,6,0,10,,
236,2,2,9,,
237,6,0,8,,
238,7,1,3,,
239,8,2,8,,
240,8,1,4,,
241,9,2,6,,
242,10,2,10,,
243,3,1,2,,
244,10,2,8,,
245,7,1,9,,
246,7,1,7,,
247,1,0,8,,
248,8,0,7,,
249,4,0,10,,
250,5,1,4,,
251,6,0,1,,
252,3,0,3,,
253,5,0,7,,
254,10,1,7,,
255,5,0,3,,
256,1,0,1,,
257,3,0,10,,
258,3,0,9,,
259,1,0,6,,
260,7,0,7,,
261,1,0,1,,
262,7,2,1,,
263,4,0,4,,
264,9,3,7,,
265,7,0,8,,
266,5,0,10,,
267,7,0,9,,
268,9,1,1,,
269,10,3,4,,
270,6,0,4,,
271,1,0,3,,
272,6,1,7,,
273,1,0,1,,
274,4,0,9,,
275,8,2,8,,
276,5,0,2,,
277,5,0,2,,
278,10,2,8,,
279,8,3,1,,
280,8,2,7,,
281,1,0,9,,
282,5,0,3,,
283,5,1,7,,
284,8,0,6,,
285,1,1,7,,
286,7,0,7,,
287,7,0,10,,
288,9,0,1,,
289,2,0,3,,
290,3,0,10,,
291,4,2,1,,
292,1,0,5,,
293,7,0,3,,
294,10,2,1,,
295,3,0,2,,
296,3,0,10,,
297,3,0,5,,
298,8,0,3,,
299,9,2,6,,
300,10,4,9,,
301,2,0,6,,
302,10,1,2,,
303,10,1,2,,
304,1,0,8,,
305,9,2,8,,
306,6,0,6,,
307,9,2,10,,
308,6,3,7,,
309,2,0,1,,
310,1,0,9,,
311,8,1,5,,
312,3,1,9,,
313,1,1,2,,
314,8,2,8,,
315,1,0,7,,
316,8,0,4,,
317,1,0,3,,
318,9,1,4,,
319,9,1,4,,
320,9,0,10,,
321,3,0,10,,
322,4,1,8,,
323,5,0,4,,
324,6,0,5,,
325,9,3,2,,
326,4,2,4,,
327,6,0,7,,
328,1,0,3,,
329,2,3,1,,
330,8,2,8,,
331,4,0,8,,
332,10,3,6,,
333,7,1,7,,
334,4,1,10,,
335,9,1,2,,
336,9,2,5,,
337,4,1,7,,
338,8,2,9,,
339,6,0,1,,
340,1,0,3,,
341,7,0,6,,
342,1,0,7,,
343,3,1,6,,
344,8,2,1,,
345,9,0,4,,
346,3,0,6,,
347,1,0,8,,
348,1,1,10,,
349,7,0,4,,
350,5,0,7,,
351,1,0,3,,
352,6,1,8,,
353,6,2,1,,
354,4,0,4,,
355,7,2,8,,
356,7,2,10,,
357,9,0,4,,
358,1,1,2,,
359,5,1,2,,
360,10,0,4,,
361,3,2,4,,
362,7,1,2,,
363,4,0,7,,
364,4,0,6,,
365,1,0,3,,
366,1,0,8,,
367,10,1,8,,
368,2,0,1,,
369,2,0,3,,
370,1,0,5,,
371,8,2,2,,
372,6,0,5,,
373,6,2,10,,
374,10,0,3,,
375,10,2,9,,
376,9,3,1,,
377,5,0,4,,
378,4,0,10,,
379,6,0,6,,
380,8,1,9,,
381,1,1,3,,
382,7,2,3,,
383,8,2,5,,
384,9,0,7,,
385,8,0,5,,
386,7,3,8,,
387,3,1,5,,
388,2,0,7,,
389,3,0,6,,
390,4,0,10,,
391,4,1,2,,
392,6,0,3,,
393,7,0,4,,
394,4,0,5,,
395,10,2,9,,
396,6,0,6,,
397,9,1,1,,
398,6,0,3,,
399,3,0,7,,
400,1,1,8,,
401,10,2,7,,
402,10,1,5,,
403,5,1,10,,
404,10,0,8,,
405,10,2,9,,
406,3,1,7,,
407,8,2,9,,
408,10,4,1,,
409,1,0,9,,
410,2,0,3,,
411,3,0,6,,
412,3,0,8,,
413,8,1,3,,
414,5,3,4,,
415,8,1,7,,
416,6,1,7,,
417,2,1,4,,
418,4,0,9,,
419,9,3,3,,
420,4,1,8,,
421,5,1,8,,
422,5,0,4,,
423,10,3,7,,
424,8,0,4,,
425,6,1,1,,
426,10,1,1,,
427,7,0,1,,
428,6,0,2,,
429,5,1,6,,
430,5,0,10,,
431,3,0,5,,
432,7,2,2,,
433,10,2,8,,
434,5,1,9,,
435,7,0,7,,
436,2,0,9,,
437,9,2,4,,
438,8,1,7,,
439,5,0,5,,
440,2,0,5,,
441,6,1,3,,
442,8,3,9,,
443,7,2,10,,
444,8,0,5,,
445,4,0,6,,
446,3,0,3,,
447,7,2,10,,
448,2,0,7,,
449,5,1,9,,
450,7,1,9,,
451,1,0,10,,
452,4,0,10,,
453,2,0,5,,
454,6,0,7,,
455,1,0,3,,
456,7,0,6,,
457,3,0,8,,
458,1,0,8,,
459,8,1,2,,
460,7,1,6,,
461,2,1,7,,
462,7,1,7,,
463,3,0,3,,
464,9,4,9,,
465,8,2,2,,
466,5,1,3,,
467,7,1,2,,
468,3,0,9,,
469,1,0,4,,
470,1,0,2,,
471,2,0,3,,
472,8,0,4,,
473,1,0,10,,
474,5,0,6,,
475,9,2,5,,
476,9,0,3,,
477,2,0,10,,
478,7,0,8,,
479,1,0,8,,
480,3,0,7,,
481,6,1,3,,
482,9,0,1,,
483,10,1,5,,
484,2,0,1,,
485,7,0,6,,
486,4,2,7,,
487,2,0,5,,
488,3,0,4,,
489,6,2,2,,
490,10,0,5,,
491,9,1,9,,
492,8,1,4,,
493,10,1,2,,
494,9,1,6,,
495,4,1,8,,
496,4,0,2,,
497,9,2,9,,
498,8,1,7,,
499,2,0,2,,
500,8,2,5,,
501,1,0,5,,
502,9,2,7,,
503,9,1,5,,
504,8,1,6,,
505,5,0,9,,
506,5,1,3,,
507,3,0,3,,
508,5,1,8,,
509,4,0,10,,
510,1,0,6,,
511,9,2,10,,
512,10,2,3,,
513,4,0,2,,
514,3,0,2,,
515,6,1,2,,
516,1,0,5,,
517,5,0,5,,
518,7,2,1,,
519,2,0,2,,
520,10,2,2,,
521,9,3,4,,
522,6,1,7,,
523,2,0,3,,
524,8,0,5,,
525,8,2,9,,
526,1,0,5,,
527,1,0,9,,
528,1,0,1,,
529,4,0,9,,
530,4,0,5,,
531,8,2,8,,
532,1,1,5,,
533,10,2,6,,
534,3,3,8,,
535,1,0,2,,
536,9,2,3,,
537,10,0,9,,
538,9,1,5,,
539,7,0,5,,
540,8,2,9,,
541,1,0,10,,
542,5,0,3,,
543,2,0,4,,
544,1,1,7,,
545,3,1,2,,
546,7,2,8,,
547,1,0,5,,
548,2,0,1,,
549,2,0,3,,
550,4,1,9,,
551,3,0,5,,
552,3,1,8,,
553,10,3,1,,
554,5,0,7,,
555,3,0,7,,
556,7,0,8,,
557,5,2,3,,
558,4,0,1,,
559,3,1,9,,
560,4,0,1,,
561,2,0,6,,
562,1,0,9,,
563,3,0,2,,
564,2,1,4,,
565,1,0,2,,
566,1,0,4,,
567,2,0,2,,
568,9,2,1,,
569,5,0,3,,
570,9,2,8,,
571,8,1,5,,
572,6,3,4,,
573,1,0,5,,
574,10,4,6,,
575,5,0,6,,
576,1,0,5,,
577,7,0,6,,
578,10,0,9,,
579,8,1,5,,
580,8,1,6,,
581,7,1,4,,
582,2,1,3,,
583,5,1,6,,
584,4,1,5,,
585,5,1,4,,
586,10,0,5,,
587,9,0,7,,
588,4,0,1,,
589,8,1,1,,
590,8,0,1,,
591,2,0,2,,
592,6,0,9,,
593,5,1,5,,
594,2,0,9,,
595,10,1,5,,
596,4,0,7,,
597,7,1,6,,
598,1,0,2,,
599,9,2,3,,
600,10,3,5,,
601,1,1,4,,
602,5,1,6,,
603,7,1,8,,
604,8,0,8,,
605,2,1,3,,
606,4,0,4,,
607,2,1,1,,
608,4,0,2,,
609,6,0,9,,
610,6,0,10,,
611,2,0,10,,
612,4,0,2,,
613,4,0,6,,
614,1,0,7,,
615,2,1,6,,
616,3,0,8,,
617,5,0,9,,
618,8,2,8,,
619,6,0,5,,
620,3,0,8,,
621,6,1,10,,
622,7,1,10,,
623,6,1,9,,
624,10,2,8,,
625,6,3,2,,
626,1,1,2,,
627,3,0,3,,
628,7,2,7,,
629,4,1,9,,
630,4,0,8,,
631,7,0,9,,
632,9,2,6,,
633,2,0,1,,
634,9,1,4,,
635,3,0,6,,
636,6,2,6,,
637,4,0,8,,
638,1,0,1,,
639,9,2,2,,
640,6,1,2,,
641,8,1,6,,
642,2,1,7,,
643,7,2,2,,
644,6,0,5,,
645,2,0,6,,
646,2,0,4,,
647,4,0,1,,
648,4,0,3,,
649,3,0,10,,
650,8,0,9,,
651,7,0,6,,
652,2,1,2,,
653,3,2,9,,
654,10,0,4,,
655,9,1,8,,
656,5,1,10,,
657,2,0,7,,
658,3,0,3,,
659,8,1,8,,
660,4,1,4,,
661,2,0,2,,
662,2,0,5,,
663,6,1,1,,
664,8,1,8,,
665,7,2,8,,
666,4,0,3,,
667,2,0,1,,
668,9,4,4,,
669,4,0,9,,
670,9,0,9,,
671,5,2,1,,
672,7,2,7,,
673,5,1,6,,
674,2,1,7,,
675,6,3,7,,
676,7,0,8,,
677,6,1,8,,
678,3,2,10,,
679,10,4,2,,
680,8,1,4,,
681,3,2,4,,
682,5,1,10,,
683,9,3,8,,
684,5,1,3,,
685,7,1,3,,
686,7,3,2,,
687,5,0,1,,
688,2,2,8,,
689,5,3,9,,
690,7,2,9,,
691,7,1,8,,
692,4,1,5,,
693,1,0,1,,
694,6,0,9,,
695,3,1,6,,
696,5,0,7,,
697,4,0,8,,
698,2,2,5,,
699,7,1,6,,
700,5,2,7,,
701,7,1,7,,
702,9,1,2,,
703,4,0,1,,
704,5,1,8,,
705,9,0,5,,
706,10,2,10,,
707,4,0,2,,
708,5,1,3,,
709,5,1,6,,
710,8,1,10,,
711,4,0,6,,
712,4,1,8,,
713,7,2,5,,
714,5,1,5,,
715,6,1,7,,
716,6,0,10,,
717,6,1,5,,
718,10,3,9,,
719,5,1,6,,
720,5,0,7,,
721,9,0,8,,
722,8,0,5,,
723,4,1,4,,
724,7,2,8,,
725,8,0,10,,
726,9,1,9,,
727,5,1,1,,
728,3,0,3,,
729,4,0,4,,
730,10,3,7,,
731,6,1,6,,
732,10,1,10,,
733,5,0,10,,
734,9,1,1,,
735,3,0,4,,
736,2,0,6,,
737,6,0,3,,
738,7,2,2,,
739,5,0,2,,
740,1,0,10,,
741,3,0,4,,
742,3,1,1,,
743,4,0,10,,
744,10,2,2,,
745,6,0,10,,
746,5,0,2,,
747,1,0,4,,
