Employee ID,Tools and Software Usage,System Downtime,Technical Support Requests,,
1,9,0.5257317558893524,4,,
2,9,1.4939813806107902,6,,
3,5,1.0019156382942942,5,,
4,4,3.9324969863289585,3,,
5,4,2.816053597,1,,
6,9,0,6,,
7,8,0.9074873957262453,9,,
8,10,0.36391582416902146,8,,
9,10,0,0,,
10,7,2.061734664060644,2,,
11,3,4.500809194042693,6,,
12,4,2.387293713965531,8,,
13,9,1.083111477086443,4,,
14,8,0.063246736,6,,
15,1,3.703737200473087,9,,
16,3,3.3336834906248765,6,,
17,10,0,3,,
18,2,4.544059218018831,4,,
19,2,3.216223094344988,1,,
20,8,0.22142710272215016,7,,
21,6,2.301421489244918,0,,
22,6,2.429719389099166,1,,
23,4,2.6709714541725336,2,,
24,1,2.531755544838227,6,,
25,7,1.7322354613235031,5,,
26,8,1.4507723732933737,6,,
27,2,2.8216051984232227,4,,
28,2,3.931867444300651,3,,
29,1,3.6339789350153975,6,,
30,4,1.5253688724848784,2,,
31,6,3.907023886069825,9,,
32,5,2.537579591448924,6,,
33,4,3.2298037033157736,1,,
34,4,3.962330767445084,7,,
35,10,1.9186340908607376,5,,
36,7,3.0914981540273425,2,,
37,7,1.3956312181305819,2,,
38,2,4.534036029318831,4,,
39,7,2.3018335869197717,2,,
40,2,3.9055726202852403,5,,
41,4,3.6921470503760725,1,,
42,1,3.209819361221397,7,,
43,5,3.120884239187264,8,,
44,1,2.994678480027436,6,,
45,4,3.030015732047902,2,,
46,9,1.1518995938750431,9,,
47,8,1.7245647575411844,3,,
48,6,0.48620574486895674,9,,
49,8,0.30416662004435047,1,,
50,5,3.259418182913418,8,,
51,7,1.3809234317753911,4,,
52,8,3.3586788086803407,1,,
53,7,2.831604318611995,9,,
54,4,3.7502886691740387,5,,
55,5,3.274817263600515,6,,
56,10,0,1,,
57,6,3.9141866727408043,0,,
58,6,3.427806529084373,6,,
59,9,0.047605516709630535,0,,
60,10,0,2,,
61,2,4.349770835581357,3,,
62,6,0,1,,
63,3,2.882592908132005,6,,
64,2,2.7771752943438965,4,,
65,6,2.0508001184331146,0,,
66,4,3.543582144,7,,
67,5,3.0321293773977547,9,,
68,5,1.5723350886274634,6,,
69,3,2.727251662295291,3,,
70,4,3.218608132484121,1,,
71,3,3.0284159453709796,6,,
72,7,0.5373819459827853,1,,
73,1,5,5,,
74,6,2.3433954747242947,0,,
75,4,2.553359498344614,6,,
76,1,5,6,,
77,1,4.034407824604801,3,,
78,5,3.625049059547313,3,,
79,5,1.5583466090594946,9,,
80,10,0,4,,
81,7,2.1971683148162353,1,,
82,4,4.349643734862504,8,,
83,9,0.679908631,9,,
84,4,3.265259783119771,3,,
85,7,0.8392761755410127,8,,
86,5,2.2659386891056865,2,,
87,5,2.796330282648685,8,,
88,6,1.9093863982752244,0,,
89,8,2.1221524151085256,6,,
90,5,1.6707849566117332,3,,
91,3,1.8820388570451128,6,,
92,6,3.197597137779373,9,,
93,2,5,5,,
94,8,1.4020884267478508,3,,
95,8,2.221470477123325,3,,
96,3,4.776217683101152,7,,
97,8,2.4020184956478765,6,,
98,9,0.6936023960073987,3,,
99,5,2.911422469656048,5,,
100,5,2.1267430758648307,5,,
101,6,2.563014194912668,0,,
